areaName,Borough,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
City Island,Bronx,0.0,0.0,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.75,1.6666666666666667,0.9166666666666666,0.75,1.4166666666666667,0.75,1.25,1.1666666666666667,1.0,1.1666666666666667,1.0
Civic Center,Manhattan,0.5,0.5833333333333334,0.9166666666666666,0.5833333333333334,1.1666666666666667,0.5,0.5,2.25,0.6666666666666666,1.5,0.75,0.25,0.16666666666666666,0.5833333333333334,0.8333333333333334,1.5
Clearview,Queens,2.0833333333333335,2.1666666666666665,0.25,0.5833333333333334,1.5833333333333333,1.0833333333333333,2.4166666666666665,2.75,0.75,4.0,6.75,2.0,4.416666666666667,4.5,4.083333333333333,5.0
Clinton Hill,Brooklyn,90.58333333333333,123.16666666666667,106.83333333333333,165.75,295.1666666666667,352.5,357.1666666666667,434.4166666666667,348.25,320.0,441.1666666666667,316.8333333333333,189.0,303.4166666666667,293.3333333333333,222.5
Co-op City,Bronx,0.0,0.0,0.16666666666666666,1.4166666666666667,1.3333333333333333,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0
Cobble Hill,Brooklyn,28.916666666666668,29.5,37.916666666666664,56.166666666666664,100.66666666666667,123.25,126.08333333333333,144.58333333333334,132.75,102.41666666666667,180.0,127.5,72.83333333333333,85.5,73.25,63.0
College Point,Queens,1.0833333333333333,1.4166666666666667,3.6666666666666665,2.5,3.3333333333333335,3.9166666666666665,6.5,10.5,9.166666666666666,6.833333333333333,4.0,6.583333333333333,12.916666666666666,12.75,12.083333333333334,17.0
Columbia St Waterfront District,Brooklyn,11.916666666666666,15.833333333333334,18.083333333333332,23.833333333333332,36.833333333333336,54.0,58.083333333333336,68.33333333333333,47.0,47.916666666666664,60.333333333333336,40.166666666666664,20.25,18.5,22.416666666666668,17.0
Concourse,Bronx,8.666666666666666,11.583333333333334,19.916666666666668,15.0,30.666666666666668,40.833333333333336,47.916666666666664,49.833333333333336,51.666666666666664,81.5,54.666666666666664,80.75,67.5,61.0,55.583333333333336,68.5
Coney Island,Brooklyn,0.75,0.25,7.666666666666667,18.583333333333332,14.833333333333334,41.166666666666664,34.083333333333336,31.166666666666668,30.083333333333332,24.833333333333332,55.916666666666664,76.16666666666667,42.166666666666664,37.0,54.416666666666664,106.5
Corona,Queens,109.41666666666667,48.0,2.8333333333333335,1.6666666666666667,38.083333333333336,39.333333333333336,55.416666666666664,67.5,40.083333333333336,37.416666666666664,56.833333333333336,49.083333333333336,37.25,23.833333333333332,15.25,12.0
Country Club,Bronx,0.0,0.16666666666666666,0.4166666666666667,0.8333333333333334,0.6666666666666666,1.25,0.8333333333333334,1.25,1.4166666666666667,1.75,2.0,3.0833333333333335,4.916666666666667,1.75,1.5833333333333333,4.5
Crotona Park East,Bronx,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.8333333333333334,2.3333333333333335,3.9166666666666665,2.75,4.5,9.25,11.0,8.916666666666666,18.833333333333332,9.25,9.166666666666666,8.5
Crown Heights,Brooklyn,78.58333333333333,116.41666666666667,128.83333333333334,207.83333333333334,566.6666666666666,916.9166666666666,927.4166666666666,1306.9166666666667,1327.5833333333333,1294.9166666666667,1607.25,1618.6666666666667,934.0,956.75,1009.6666666666666,1041.0
